x,y
-2.5291,-5.8634
-2.5485,-5.9002
-2.5681,-5.9370
-2.5879,-5.9739
-2.6081,-6.0107
-2.6285,-6.0476
-2.6491,-6.0845
-2.6699,-6.1215
-2.6910,-6.1585
-2.7123,-6.1955
-2.7338,-6.2326
-2.7554,-6.2697
-2.7772,-6.3069
-2.7992,-6.3441
-2.8214,-6.3814
-2.8437,-6.4188
-2.8661,-6.4562
-2.8886,-6.4937
-2.9112,-6.5313
-2.9340,-6.5689
-2.9568,-6.6066
-2.9796,-6.6444
-3.0026,-6.6823
-3.0256,-6.7203
-3.0486,-6.7583
-3.0717,-6.7965
-3.0948,-6.8348
-3.1179,-6.8731
-3.1410,-6.9116
-3.1640,-6.9502
-3.1870,-6.9888
-3.2099,-7.0276
-3.2326,-7.0664
-3.2553,-7.1053
-3.2777,-7.1442
-3.3000,-7.1832
-3.3220,-7.2222
-3.3438,-7.2613
-3.3653,-7.3004
-3.3865,-7.3396
-3.4074,-7.3787
-3.4279,-7.4179
-3.4481,-7.4571
-3.4678,-7.4962
-3.4871,-7.5354
-3.5059,-7.5745
-3.5243,-7.6137
-3.5421,-7.6528
-3.5594,-7.6918
-3.5761,-7.7308
-3.5923,-7.7698
-3.6078,-7.8087
-3.6227,-7.8475
-3.6369,-7.8863
-3.6504,-7.9249
-3.6631,-7.9635
-3.6752,-8.0020
-3.6864,-8.0404
-3.6968,-8.0787
-3.7064,-8.1169
-3.7152,-8.1550
-3.7231,-8.1929
-3.7300,-8.2307
-3.7360,-8.2683
-3.7411,-8.3058
-3.7451,-8.3432
-3.7482,-8.3803
-3.7502,-8.4174
-3.7511,-8.4542
-3.7510,-8.4908
-3.7497,-8.5273
-3.7473,-8.5635
-3.7437,-8.5996
-3.7389,-8.6354
-3.7328,-8.6710
-3.7255,-8.7064
-3.7170,-8.7416
-3.7071,-8.7765
-3.6959,-8.8112
-3.6833,-8.8456
-3.6694,-8.8797
-3.6541,-8.9136
-3.6375,-8.9472
-3.6196,-8.9805
-3.6004,-9.0134
-3.5801,-9.0461
-3.5585,-9.0783
-3.5359,-9.1103
-3.5121,-9.1418
-3.4872,-9.1730
-3.4614,-9.2038
-3.4345,-9.2341
-3.4066,-9.2641
-3.3779,-9.2936
-3.3482,-9.3226
-3.3176,-9.3512
-3.2863,-9.3793
-3.2541,-9.4069
-3.2212,-9.4340
-3.1876,-9.4605
-3.1533,-9.4866
-3.1183,-9.5121
-3.0827,-9.5370
-3.0466,-9.5613
-3.0099,-9.5851
-2.9727,-9.6082
-2.9350,-9.6307
-2.8969,-9.6526
-2.8584,-9.6739
-2.8195,-9.6944
-2.7802,-9.7143
-2.7407,-9.7336
-2.7009,-9.7521
-2.6609,-9.7699
-2.6207,-9.7870
-2.5803,-9.8033
-2.5398,-9.8189
-2.4992,-9.8337
-2.4586,-9.8477
-2.4180,-9.8610
-2.3773,-9.8734
-2.3367,-9.8850
-2.2962,-9.8957
-2.2559,-9.9056
-2.2157,-9.9147
-2.1756,-9.9228
-2.1358,-9.9301
-2.0963,-9.9364
-2.0571,-9.9419
-2.0182,-9.9464
-1.9797,-9.9499
-1.9415,-9.9525
-1.9038,-9.9541
-1.8666,-9.9548
-1.8297,-9.9545
-1.7933,-9.9533
-1.7573,-9.9511
-1.7218,-9.9480
-1.6867,-9.9440
-1.6519,-9.9391
-1.6177,-9.9334
-1.5838,-9.9267
-1.5503,-9.9192
-1.5173,-9.9108
-1.4846,-9.9016
-1.4524,-9.8915
-1.4206,-9.8806
-1.3892,-9.8689
-1.3582,-9.8564
-1.3276,-9.8431
-1.2974,-9.8290
-1.2676,-9.8141
-1.2382,-9.7985
-1.2092,-9.7822
-1.1806,-9.7650
-1.1523,-9.7472
-1.1245,-9.7286
-1.0971,-9.7093
-1.0700,-9.6894
-1.0434,-9.6687
-1.0171,-9.6474
-0.9912,-9.6254
-0.9656,-9.6027
-0.9405,-9.5794
-0.9157,-9.5554
-0.8913,-9.5308
-0.8673,-9.5056
-0.8436,-9.4798
-0.8203,-9.4535
-0.7974,-9.4265
-0.7749,-9.3989
-0.7527,-9.3708
-0.7308,-9.3422
-0.7094,-9.3130
-0.6883,-9.2832
-0.6675,-9.2530
-0.6471,-9.2222
-0.6270,-9.1909
-0.6073,-9.1592
-0.5880,-9.1269
-0.5690,-9.0942
-0.5503,-9.0611
-0.5320,-9.0275
-0.5140,-8.9934
-0.4964,-8.9589
-0.4791,-8.9241
-0.4621,-8.8888
-0.4455,-8.8531
-0.4292,-8.8170
-0.4132,-8.7806
-0.3976,-8.7438
-0.3823,-8.7066
-0.3673,-8.6691
-0.3526,-8.6313
-0.3383,-8.5931
-0.3243,-8.5546
-0.3106,-8.5159
-0.2972,-8.4768
-0.2841,-8.4375
-0.2714,-8.3979
-0.2589,-8.3580
-0.2468,-8.3179
-0.2349,-8.2776
-0.2234,-8.2370
-0.2122,-8.1962
-0.2013,-8.1552
-0.1906,-8.1140
-0.1803,-8.0726
-0.1703,-8.0311
-0.1606,-7.9894
-0.1511,-7.9475
-0.1420,-7.9055
-0.1331,-7.8634
-0.1245,-7.8211
-0.1162,-7.7787
-0.1082,-7.7363
-0.1005,-7.6937
-0.0931,-7.6511
-0.0859,-7.6084
-0.0790,-7.5656
